Date : 2022-04-25 21:12:28
Directory : d:\Employment\code\Club_Management_System\vue-element-admin\src
Total : 303 files,  22819 codes, 1346 comments, 1577 blanks, all 25742 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\Logo.vue                    | Vue        |         74 |          0 |          9 |         83 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\SidebarItem.vue             | Vue        |         83 |          6 |          7 |         96 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\Sidebar\index.vue                   | Vue        |         51 |          1 |          3 |         55 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\TagsView\ScrollPane.vue             | Vue        |         81 |          4 |         10 |         95 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\TagsView\index.vue                  | Vue        |        280 |          6 |          7 |        293 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\components\index.js                            | JavaScript |          5 |          0 |          1 |          6 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\index.vue                                      | Vue        |         93 |          0 |         10 |        103 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\layout\mixin\ResizeHandler.js                         | JavaScript |         40 |          2 |          4 |         46 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\main.js                                               | JavaScript |         34 |         19 |         11 |         64 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\permission.js                                         | JavaScript |         47 |         33 |          8 |         88 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\permission\index.js                                   | JavaScript |         11 |          1 |          0 |         12 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\router\index.js                                       | JavaScript |        320 |         60 |         23 |        403 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\router\modules\charts.js                              | JavaScript |         32 |          1 |          4 |         37 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\router\modules\components.js                          | JavaScript |         98 |          1 |          4 |        103 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\router\modules\nested.js                              | JavaScript |         62 |          1 |          4 |         67 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\router\modules\table.js                               | JavaScript |         38 |          1 |          3 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\settings.js                                           | JavaScript |          8 |         22 |          6 |         36 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\getters.js                                      | JavaScript |         20 |          0 |          1 |         21 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\index.js                                        | JavaScript |         16 |          4 |          6 |         26 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\app.js                                  | JavaScript |         52 |          0 |          5 |         57 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\errorLog.js                             | JavaScript |         25 |          0 |          4 |         29 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\permission.js                           | JavaScript |         63 |         18 |          8 |         89 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\settings.js                             | JavaScript |         28 |          1 |          7 |         36 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\tagsView.js                             | JavaScript |        147 |          2 |         12 |        161 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\store\modules\user.js                                 | JavaScript |        149 |         23 |         20 |        192 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\btn.scss                                       | SCSS       |         83 |          0 |         17 |        100 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\element-ui.scss                                | SCSS       |         64 |          6 |         15 |         85 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\element-variables.scss                         | SCSS       |         13 |         10 |          9 |         32 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\index.scss                                     | SCSS       |        154 |          2 |         36 |        192 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\mixin.scss                                     | SCSS       |         56 |          0 |         11 |         67 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\sidebar.scss                                   | SCSS       |        180 |          6 |         41 |        227 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\transition.scss                                | SCSS       |         35 |          4 |         10 |         49 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\styles\variables.scss                                 | SCSS       |         26 |          4 |          6 |         36 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\auth.js                                         | JavaScript |         24 |          4 |          3 |         31 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\clipboard.js                                    | JavaScript |         29 |          0 |          4 |         33 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\error-log.js                                    | JavaScript |         28 |          4 |          4 |         36 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\get-page-title.js                               | JavaScript |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\index.js                                        | JavaScript |        234 |         98 |         26 |        358 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\leafUtils.js                                    | JavaScript |         18 |          1 |          0 |         19 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\myconfirm.js                                    | JavaScript |         16 |          1 |          1 |         18 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\objCoppy.js                                     | JavaScript |          5 |          1 |          1 |          7 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\open-window.js                                  | JavaScript |         12 |          9 |          5 |         26 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\permission.js                                   | JavaScript |         14 |          5 |          3 |         22 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\request.js                                      | JavaScript |        201 |         46 |          5 |        252 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\resrtForm.js                                    | JavaScript |          8 |          4 |          0 |         12 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\scroll-to.js                                    | JavaScript |         39 |         15 |          5 |         59 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\utils\validate.js                                     | JavaScript |         55 |         45 |         12 |        112 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\vendor\Export2Excel.js                                | JavaScript |        180 |         15 |         26 |        221 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\vendor\Export2Zip.js                                  | JavaScript |         22 |          1 |          2 |         25 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\activity\index.vue                     | Vue        |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\eventApproval\applicationList.vue      | Vue        |        237 |         14 |          4 |        255 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\eventList\index.vue                    | Vue        |        429 |         17 |         11 |        457 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\event_request\index.vue                | Vue        |         27 |          0 |          4 |         31 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\meeting\meetList.vue                   | Vue        |        279 |         22 |          9 |        310 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\components\ArticleDetail.vue      | Vue        |        282 |         34 |         11 |        327 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\components\Dropdown\Comment.vue   | Vue        |         40 |          0 |          2 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\components\Dropdown\Platform.vue  | Vue        |         45 |          0 |          2 |         47 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\components\Dropdown\SourceUrl.vue | Vue        |         37 |          0 |          2 |         39 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\components\Dropdown\index.js      | JavaScript |          3 |          0 |          1 |          4 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\manageNews\create.vue             | Vue        |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\manageNews\edit.vue               | Vue        |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\manageNews\list copy.vue          | Vue        |         93 |          0 |         13 |        106 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\activity\news\manageNews\list.vue               | Vue        |        142 |          7 |          7 |        156 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\charts\keyboard.vue                             | Vue        |         19 |          0 |          5 |         24 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\charts\line.vue                                 | Vue        |         19 |          0 |          5 |         24 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\charts\mix-chart.vue                            | Vue        |         19 |          0 |          5 |         24 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\clipboard\index.vue                             | Vue        |         46 |          0 |          4 |         50 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\avatar-upload.vue               | Vue        |         54 |          0 |          8 |         62 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\back-to-top.vue                 | Vue        |        150 |          1 |          4 |        155 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\count-to.vue                    | Vue        |        207 |          0 |         12 |        219 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\dnd-list.vue                    | Vue        |         36 |          0 |          4 |         40 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\drag-dialog.vue                 | Vue        |         58 |          1 |          3 |         62 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\drag-kanban.vue                 | Vue        |         64 |          0 |          3 |         67 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\drag-select.vue                 | Vue        |         40 |          0 |          4 |         44 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\dropzone.vue                    | Vue        |         28 |          0 |          4 |         32 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\json-editor.vue                 | Vue        |         31 |          0 |          6 |         37 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\markdown.vue                    | Vue        |         91 |          0 |         11 |        102 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\mixin.vue                       | Vue        |        161 |          0 |          9 |        170 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\split-pane.vue                  | Vue        |         60 |          0 |          8 |         68 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\sticky.vue                      | Vue        |        127 |          0 |          9 |        136 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\components-demo\tinymce.vue                     | Vue        |         32 |          0 |          5 |         37 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\BarChart.vue         | Vue        |         98 |          0 |          5 |        103 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\BoxCard.vue          | Vue        |        114 |          0 |          5 |        119 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\LineChart.vue        | Vue        |        133 |          0 |          3 |        136 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\PanelGroup.vue       | Vue        |        159 |          0 |         23 |        182 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\PieChart.vue         | Vue        |         76 |          0 |          4 |         80 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\RaddarChart.vue      | Vue        |        112 |          0 |          5 |        117 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\TodoList\Todo.vue    | Vue        |         80 |          0 |          2 |         82 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\TodoList\index.scss  | SCSS       |        309 |         11 |          1 |        321 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\TodoList\index.vue   | Vue        |        123 |          1 |          4 |        128 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\TransactionTable.vue | Vue        |         53 |          0 |          3 |         56 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\components\mixins\resize.js     | JavaScript |         50 |          4 |          2 |         56 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\admin\index.vue                       | Vue        |        113 |          0 |         12 |        125 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\components\LineChart.vue              | Vue        |        133 |          0 |          3 |        136 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\components\PanelGroup.vue             | Vue        |        155 |          0 |         26 |        181 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\components\mixins\resize.js           | JavaScript |         50 |          4 |          2 |         56 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\editor\index.vue                      | Vue        |         70 |          0 |          5 |         75 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\dashboard\index.vue                             | Vue        |         60 |         11 |          9 |         80 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\documentation\index.vue                         | Vue        |         53 |          0 |          5 |         58 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\error-log\components\ErrorTestA.vue             | Vue        |         12 |          0 |          2 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\error-log\components\ErrorTestB.vue             | Vue        |         10 |          0 |          2 |         12 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\error-log\index.vue                             | Vue        |         29 |          0 |          4 |         33 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\error-page\401.vue                              | Vue        |         96 |          0 |          4 |        100 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\error-page\404.vue                              | Vue        |        225 |          0 |          4 |        229 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\ArticleDetail.vue            | Vue        |        256 |         10 |         24 |        290 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\Dropdown\Comment.vue         | Vue        |         40 |          0 |          2 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\Dropdown\Platform.vue        | Vue        |         45 |          0 |          2 |         47 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\Dropdown\SourceUrl.vue       | Vue        |         37 |          0 |          2 |         39 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\Dropdown\index.js            | JavaScript |          3 |          0 |          1 |          4 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\components\Warning.vue                  | Vue        |         12 |          0 |          2 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\create.vue                              | Vue        |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\edit.vue                                | Vue        |         10 |          0 |          4 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\example\list.vue                                | Vue        |        102 |          0 |         11 |        113 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\components\AutoWidthOption.vue            | Vue        |         33 |          0 |          2 |         35 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\components\BookTypeOption.vue             | Vue        |         38 |          0 |          2 |         40 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\components\FilenameOption.vue             | Vue        |         26 |          0 |          2 |         28 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\export-excel.vue                          | Vue        |        110 |          1 |          6 |        117 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\merge-header.vue                          | Vue        |         96 |          0 |          6 |        102 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\select-excel.vue                          | Vue        |        105 |          0 |          3 |        108 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\excel\upload-excel.vue                          | Vue        |         38 |          0 |          5 |         43 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\finance\curves\index.vue                        | Vue        |         69 |          0 |          6 |         75 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\finance\finance\index.vue                       | Vue        |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\finance\listin\index.vue                        | Vue        |        288 |         30 |          8 |        326 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\finance\listout\index.vue                       | Vue        |        347 |         31 |          8 |        386 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\goods\goodsBrand\goodsBrandList.vue             | Vue        |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\goods\goodsCategory\goodsCategoryList.vue       | Vue        |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\goods\goods\index.vue                           | Vue        |          8 |          0 |          3 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\guide\index.vue                                 | Vue        |         34 |          0 |          3 |         37 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\guide\steps.js                                  | JavaScript |         52 |          0 |          2 |         54 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\icons\element-icons.js                          | JavaScript |          2 |          0 |          2 |          4 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\icons\index.vue                                 | Vue        |         94 |          0 |          8 |        102 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\icons\svg-icons.js                              | JavaScript |          7 |          0 |          4 |         11 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\login\auth-redirect.vue                         | Vue        |         15 |          0 |          1 |         16 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\login\components\SocialSignin.vue               | Vue        |         58 |         11 |          4 |         73 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\login\index copy.vue                            | Vue        |        274 |         27 |         28 |        329 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\login\index.vue                                 | Vue        |        171 |          8 |          3 |        182 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\index.vue                          | Vue        |          7 |          0 |          1 |          8 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\menu1-1\index.vue                  | Vue        |          7 |          0 |          1 |          8 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\menu1-2\index.vue                  | Vue        |          7 |          0 |          1 |          8 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\menu1-2\menu1-2-1\index.vue        | Vue        |          5 |          0 |          1 |          6 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\menu1-2\menu1-2-2\index.vue        | Vue        |          5 |          0 |          1 |          6 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu1\menu1-3\index.vue                  | Vue        |          5 |          0 |          1 |          6 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\nested\menu2\index.vue                          | Vue        |          5 |          0 |          1 |          6 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\pdf\content.js                                  | JavaScript |         55 |          0 |          4 |         59 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\pdf\download.vue                                | Vue        |        176 |          1 |         25 |        202 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\pdf\index.vue                                   | Vue        |         12 |          0 |          2 |         14 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\permission\components\SwitchRoles.vue           | Vue        |         31 |          0 |          2 |         33 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\permission\directive.vue                        | Vue        |        101 |          0 |         11 |        112 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\permission\page.vue                             | Vue        |         17 |          0 |          3 |         20 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\permission\role.vue                             | Vue        |        239 |          9 |         23 |        271 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\profile\components\Account.vue                  | Vue        |         37 |          0 |          2 |         39 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\profile\components\Activity.vue                 | Vue        |        166 |          0 |         20 |        186 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\profile\components\Timeline.vue                 | Vue        |         42 |          0 |          2 |         44 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\profile\components\UserCard.vue                 | Vue        |        117 |          0 |         18 |        135 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\profile\index.vue                               | Vue        |         63 |          0 |          6 |         69 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\qiniu\upload.vue                                | Vue        |         37 |          2 |          3 |         42 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\redirect\index.vue                              | Vue        |         12 |          0 |          1 |         13 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\Menu\MenuList.vue                        | Vue        |        451 |         35 |          2 |        488 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\Role\RoleList.vue                        | Vue        |        346 |         39 |          3 |        388 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\UserApprove\UserApprove.vue              | Vue        |        154 |          7 |          4 |        165 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\User\UserList.vue                        | Vue        |        718 |        111 |          5 |        834 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\config\code.vue                          | Vue        |         44 |          0 |          3 |         47 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\config\systemDocument.vue                | Vue        |         34 |          2 |          2 |         38 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\system\department\department.vue                | Vue        |        428 |         45 |          4 |        477 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\tab\components\TabPane.vue                      | Vue        |         94 |          0 |         10 |        104 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\tab\index.vue                                   | Vue        |         53 |          1 |          4 |         58 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\complex-table.vue                         | Vue        |        368 |          2 |         10 |        380 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\drag-table.vue                            | Vue        |        138 |          3 |         13 |        154 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\dynamic-table\components\FixedThead.vue   | Vue        |         58 |          0 |          5 |         63 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\dynamic-table\components\UnfixedThead.vue | Vue        |         48 |          0 |          3 |         51 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\dynamic-table\index.vue                   | Vue        |         20 |          0 |          5 |         25 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\table\inline-edit-table.vue                     | Vue        |        140 |          0 |         10 |        150 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\theme\index.vue                                 | Vue        |        110 |          0 |         11 |        121 |
| d:\Employment\code\Club_Management_System\vue-element-admin\src\views\zip\index.vue                                   | Vue        |         75 |          0 |          3 |         78 |
| Total                                                                                                                 |            |     22,819 |      1,346 |      1,577 |     25,742 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
